"gene_id","expression","gene_name"
"ENSFHEG00000001392",7.90970955740049,NA
"ENSFHEG00000003810",9.17937804517472,"NACC2"
"ENSFHEG00000006476",8.69239207766486,"calcrla"
"ENSFHEG00000009304",10.0206498032056,NA
"ENSFHEG00000010562",11.1705729730378,"slc12a10.1"
"ENSFHEG00000011984",7.63552244197995,NA
"ENSFHEG00000014562",7.75828659695138,NA
"ENSFHEG00000015240",7.81288931668356,"cmah"
"ENSFHEG00000016212",8.5354276774163,"ppp3cb"
"ENSFHEG00000018965",8.19000079420102,NA
"ENSFHEG00000020910",8.77297433672074,NA
"ENSFHEG00000021576",11.4468432073636,"clcn2c"
"ENSFHEG00000023005",8.38338306826829,NA
